Temp_(C),coins_per_30min,coinserr_per_30min
24.97637399309551,15062.0,122.72734006732159
24.925749826989616,1834.6421299322249,42.832722653740156
24.86306149855908,5901.206152982385,76.81930846461965
24.79967035755479,27508.18028649743,165.85590217564592
24.73053148788927,47626.981663855906,218.23606865927525
24.665996029919448,51034.94636500644,225.9091551155164
24.603853287197225,35889.50628662614,189.44525934059723
24.535150863060995,12321.996813114793,111.0044900583521
24.473225172811066,892.5957471215169,29.876340925915223
24.410283448673585,13903.429501223143,117.91280465336725
24.34928653624856,38807.17893575788,196.9953779553162
24.28604237190558,50240.925929695135,224.14487709893157
