Temp_(C),bsm1_counts_per_40min,bsm1_countserr_per_40min,bsm2_counts_per_40min,bsm2_countserr_per_40min
23.92088283261803,7,2.6457513110645907,17,4.123105625617661
23.9956677572105,12,3.4641016151377544,17,4.123105625617661
24.068453865979382,15,3.872983346207417,12,3.4641016151377544
24.219819536281666,21,4.58257569495584,6,2.449489742783178
24.293006649506655,19,4.358898943540674,4,2.0
24.357845278969954,15,3.872983346207417,10,3.1622776601683795
24.430288903225804,7,2.6457513110645907,25,5.0
24.51157245380318,7,2.6457513110645907,20,4.47213595499958
24.58205252263907,8,2.8284271247461903,26,5.0990195135927845
24.657949077649075,4,2.0,25,5.0
24.7323029285099,6,2.449489742783178,23,4.795831523312719
24.805632260832265,10,3.1622776601683795,18,4.242640687119285
24.88363123123123,15,3.872983346207417,21,4.58257569495584
24.956015579399143,16,4.0,8,2.8284271247461903
