Temp_(C),coins_per_30min,coinserr_per_30min
24.97637399309551,15062,122.72734006732159
24.925749826989616,1818,42.638011210655684
24.86306149855908,5799,76.1511654539837
24.79967035755479,26831,163.80170939278992
24.73053148788927,46057,214.60894669141825
24.665996029919448,49134,221.66190471075538
24.603853287197225,34368,185.38608362010348
24.535150863060995,11729,108.30050784737807
24.473225172811066,845,29.068883707497267
24.410283448673585,13231,115.02608399836969
24.34928653624856,36656,191.45756710038913
24.28604237190558,45129,212.43587267690924
