Temp_(C),bsm1_counts_per_12min,bsm1_countserr_per_12min,bsm2_counts_per_12min,bsm2_countserr_per_12min
25.13432142857143,246,15.684387141358123,133,11.532562594670797
25.06128741058655,315,17.74823934929885,64,8.0
25.13432142857143,246,15.684387141358123,133,11.532562594670797
24.99660257142858,281,16.76305461424021,54,7.3484692283495345
24.925266714285712,293,17.11724276862369,68,8.246211251235321
24.84866357142857,236,15.362291495737216,127,11.269427669584644
24.78233794579172,179,13.379088160259652,163,12.767145334803704
24.71606542857143,116,10.770329614269007,228,15.0996688705415
24.640318741058657,74,8.602325267042627,276,16.61324772583615
24.577735571428576,56,7.483314773547883,318,17.832554500127006
24.509690857142857,64,8.0,287,16.941074346097416
24.435876,105,10.246950765959598,258,16.06237840420901
24.36687532097004,150,12.24744871391589,179,13.379088160259652
24.299420399429387,239,15.459624833740307,133,11.532562594670797
24.226570773638965,284,16.852299546352718,80,8.94427190999916
24.16230414878397,300,17.320508075688775,61,7.810249675906654
